 Count  Overhead File                    Line Function
   381         0 @ChannelFlow/src/ffts.jl  175 (::InverseFFT!{FFTW.rFFTWPlan{Com…
   381         0 @FFTW/src/fft.jl        540 unsafe_execute!
   381         0 @Base/abstractarray.jl 1377 _to_linear_index
   381         0 @Base/abstractarray.jl 3049 _sub2ind
   384         0 @ChannelFlow/…timesteppers/cnrk2.jl  202 step!(scheme::CNRK2{FourierStokes…
   384         0 @ChannelFlow/src/helmoltz.jl  546 solve!
   408         0 @ChannelFlow/src/nonlinear.jl  153 _convectiveform!(Eq::NonLinearTer…
   408         0 @ChannelFlow/src/ffts.jl   94 ForwardFFT!
   413         0 @ChannelFlow/src/nonlinear.jl  145 _convectiveform!(Eq::NonLinearTer…
   428         0 @Base/abstractarray.jl 1371 _getindex
   431         0 @Base/broadcast.jl      652 _broadcast_getindex
   441         0 @Base/broadcast.jl      695 _getindex
   444         0 @Base/broadcast.jl      671 _broadcast_getindex
   446         0 @Base/broadcast.jl      620 _getindex
   538         0 @Base/broadcast.jl      624 _getindex
   547         0 @Base/abstractarray.jl 1342 getindex
   575         0 @ChannelFlow/src/nonlinear.jl  148 _convectiveform!(Eq::NonLinearTer…
   575         0 @ChannelFlow/…elds/gradientfield.jl   95 dot!(out::VectorField{PhysicalFie…
   575         0 @ChannelFlow/…elds/physicalfield.jl   94 materialize!
   575         0 @ChannelFlow/…elds/physicalfield.jl   95 macro expansion
   648         9 …/lib/libfftw3.3.dylib    ? apply_dit
   773       714 …/lib/libfftw3.3.dylib    ? apply_r2hc
   873         0 @Base/broadcast.jl      616 getindex
   987         0 @Base/simdloop.jl        77 macro expansion
  1039        92 …/lib/libfftw3.3.dylib    ? apply_e
  1046         0 @ChannelFlow/src/ffts.jl  168 (::InverseFFT!{FFTW.rFFTWPlan{Com…
  1236         0 @ChannelFlow/src/nonlinear.jl  146 _convectiveform!(Eq::NonLinearTer…
  1236         0 @ChannelFlow/src/ffts.jl  191 (::InverseFFT!{FFTW.rFFTWPlan{Com…
  1317         0 @FFTW/src/fft.jl        550 unsafe_execute!
  1649         0 @ChannelFlow/src/ffts.jl  182 InverseFFT!
  2089       186 …/lib/libfftw3.3.dylib    ? apply
  2744         0 @ChannelFlow/…timesteppers/cnrk2.jl  173 step!(scheme::CNRK2{FourierStokes…
  2744         0 @ChannelFlow/src/nonlinear.jl  124 NonLinearTerm
  3327         0 @juliasrc/interpreter.c  123 do_call
  3327         0 @ChannelFlow/…f/profile_detailed.jl  133 main()
  3327         0 @Base/io.jl             409 open
  3327         0 @Base/io.jl             412 open(::var"#main##0#main##1"{Stri…
  3327         0 @ChannelFlow/…f/profile_detailed.jl  137 (::var"#main##0#main##1"{String})…
  3327         0 @ChannelFlow/…f/profile_detailed.jl  123 run_case(io::IOStream, flags::UIn…
  3327         0 @Profile/src/Profile.jl   60 macro expansion
  3327         0 @ChannelFlow/…f/profile_detailed.jl  123 macro expansion
