ChannelFlow: (commit = "be56ce25852e322b6e2467aa0e1de24841a55d15", dirty = true, hash = "4c25ef7b1ddb791b46547b3f9c2459abd8a65d12936fd991088642af9ca74040"); backend: (commit = "90fd15668dc78601c3d6e6f820fa1e69e59857a2", dirty = true, hash = "b1c045e8bf7a384c471dc843a4f5ff27230c24b8dca5144e0d1678c323236ff3")
FFTW planning: ESTIMATE
nonlinear: median 13.241542 ms/call
gradient: median 0.22733399999999998 ms/call
stokes: median 1.569458 ms/call
inverse_scalar: median 0.6866249999999999 ms/call
forward_scalar: median 0.670292 ms/call
inverse_chebyshev: median 0.424208 ms/call
inverse_fourier: median 0.18000000000000002 ms/call
 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
  1346         0 @Profile/src/Profile.jl   60 macro expansion
  1346         0 @ChannelFlow/…erf/benchmark_step.jl   93 macro expansion
  1349         4 [any unknown stackframes]
  1360         0 @juliasrc/jlapi.c      1139 jl_repl_entrypoint
  1360         0 @juliasrc/jlapi.c       971 true_main
  1360         0 @juliasrc/julia.h      2391 jl_apply
  1360         0 @julialib/julia/sys.dylib    ? jfptr__start_29115.1
  1360         0 @Base/client.jl         550 _start()
  1360         0 @Base/client.jl         317 exec_options(opts::Base.JLOptions)
  1360         0 @Base/Base.jl           306 include(mod::Module, _path::Strin…
  1360         0 @Base/loading.jl       2934 _include(mapexpr::Function, mod::…
  1360         0 @Base/loading.jl       2874 include_string(mapexpr::typeof(id…
  1360         0 @Base/boot.jl           489 eval(m::Module, e::Any)
  1360         0 @juliasrc/toplevel.c   1092 ijl_toplevel_eval_in
  1360         0 @juliasrc/toplevel.c   1047 ijl_toplevel_eval
  1360         0 @juliasrc/toplevel.c    975 jl_toplevel_eval_flex
  1360         0 @juliasrc/toplevel.c   1035 jl_toplevel_eval_flex
  1360         0 @juliasrc/interpreter.c  898 jl_interpret_toplevel_thunk
  1360         0 @juliasrc/interpreter.c  689 eval_body
  1360         0 @juliasrc/interpreter.c  194 eval_stmt_value
Total snapshots: 1591. Utilization: 100% across all threads and tasks. Use the `groupby` kwarg to break down by thread and/or task.
